,model,dms_id,accuracy,precision,recall,f1,mcc,n
140,CARP_640M,A4_HUMAN_Seuma_2022,0.6662615623523057,0.6985820391627279,0.6561390157280568,0.6766956635489567,0.33322381812162727,14811
141,CARP_76M,A4_HUMAN_Seuma_2022,0.6515427722638579,0.6838622552329507,0.6423135464231354,0.6624370462423965,0.30372459403348734,14811
142,MIF,A4_HUMAN_Seuma_2022,0.6156235230571873,0.6479405806887238,0.6085743277524099,0.627640787494277,0.23173566185509076,14811
143,MIFST,A4_HUMAN_Seuma_2022,0.6573492674363649,0.6896691424713032,0.647767630644343,0.6680620053633332,0.3153619026187168,14811
144,ESM-IF1,A4_HUMAN_Seuma_2022,0.43494699885220445,0.46725185685347737,0.43886352105530185,0.4526129897311793,-0.13037407970391146,14811
145,ProteinMPNN,A4_HUMAN_Seuma_2022,0.520964148268179,0.5532748143146523,0.5196600710299341,0.5359408725227287,0.04202046840751187,14811
146,ProtSSN_k10_h512,A4_HUMAN_Seuma_2022,0.6781446222402269,0.7104659014179608,0.6673008625063419,0.688207207796455,0.3570397054588412,14811
147,ProtSSN_k10_h768,A4_HUMAN_Seuma_2022,0.6685571534670177,0.700877785280216,0.6582952815829528,0.6789194845967689,0.3378246145390436,14811
148,ProtSSN_k10_h1280,A4_HUMAN_Seuma_2022,0.6681520491526568,0.7004726536124241,0.6579147640791476,0.6785270455883314,0.3370127092889113,14811
149,ProtSSN_k20_h512,A4_HUMAN_Seuma_2022,0.6703126054959152,0.7026333558406482,0.6599441907661086,0.6806200536333311,0.3413428706229502,14811
150,ProtSSN_k20_h768,A4_HUMAN_Seuma_2022,0.671933022753359,0.7042538825118163,0.6614662607813293,0.6821898096670809,0.3445904916234794,14811
151,ProtSSN_k20_h1280,A4_HUMAN_Seuma_2022,0.6574843022078185,0.6898041863605672,0.647894469812278,0.6681928183661456,0.31563253770209426,14811
152,ProtSSN_k30_h512,A4_HUMAN_Seuma_2022,0.6776044831544122,0.7099257258609047,0.6667935058346017,0.687683955785205,0.35595716512533143,14811
153,ProtSSN_k30_h768,A4_HUMAN_Seuma_2022,0.6404699210046587,0.6727886563133019,0.6319127346524607,0.6517103800117732,0.281532517196538,14811
154,ProtSSN_k30_h1280,A4_HUMAN_Seuma_2022,0.6446559989197218,0.6769750168804861,0.6358447488584474,0.65576558309896,0.28992220478123837,14811
155,ProtSSN_ensemble,A4_HUMAN_Seuma_2022,0.6712578488960907,0.7035786630654963,0.660832064941654,0.6815357446530185,0.3432373162065922,14811
156,SaProt_650M_AF2,A4_HUMAN_Seuma_2022,0.6735534400108028,0.7058744091829845,0.66298833079655,0.6837595657008306,0.34783811262400854,14811
157,SaProt_35M_AF2,A4_HUMAN_Seuma_2022,0.6657214232664911,0.6980418636056719,0.6556316590563166,0.6761724115377068,0.33214127778811753,14811
158,PoET,A4_HUMAN_Seuma_2022,0.6663965971237593,0.6987170830519919,0.6562658548959919,0.6768264765517692,0.3334944532050047,14811
159,MULAN_small,A4_HUMAN_Seuma_2022,0.664236040780501,0.6965563808237677,0.6542364282090309,0.6747334685067695,0.3291642918709658,14811
160,ProSST-20,A4_HUMAN_Seuma_2022,0.6356086692323273,0.6679270762997974,0.6273465246067986,0.6470011119105239,0.2717896541949505,14811
161,ProSST-128,A4_HUMAN_Seuma_2022,0.6503274593207751,0.6826468602295747,0.64117199391172,0.6612597292170842,0.3012888782830905,14811
162,ProSST-512,A4_HUMAN_Seuma_2022,0.655728850178921,0.6880486158001351,0.6462455606291223,0.6664922493295834,0.31211428161818766,14811
163,ProSST-1024,A4_HUMAN_Seuma_2022,0.6144082101141044,0.6467251856853478,0.6074327752409944,0.6264634704689647,0.2292999461046939,14811
164,ProSST-2048,A4_HUMAN_Seuma_2022,0.6715279184389981,0.7038487508440243,0.6610857432775241,0.6817973706586434,0.3437785863733471,14811
165,ProSST-4096,A4_HUMAN_Seuma_2022,0.6133279319424751,0.6456448345712357,0.6064180618975139,0.6254169664464648,0.22713486543767444,14811
166,ESCOTT,A4_HUMAN_Seuma_2022,0.7014381203159814,0.7337925445705025,0.689117199391172,0.7107535321821036,0.4037330081296045,14811
167,VenusREM,A4_HUMAN_Seuma_2022,0.6723381270677199,0.7046590141796084,0.6618467782851345,0.6825822486755183,0.34540239687361163,14811
168,RSALOR,A4_HUMAN_Seuma_2022,0.6778745526973196,0.7101958136394328,0.6670471841704718,0.68794558179083,0.3564984352920863,14811
169,S2F,A4_HUMAN_Seuma_2022,0.6785497265545878,0.7108710330857528,0.6676813800101471,0.6885996468048924,0.3578516107089735,14811
170,S2F_MSA,A4_HUMAN_Seuma_2022,0.6712578488960907,0.7035786630654963,0.660832064941654,0.6815357446530185,0.3432373162065922,14811
171,S3F,A4_HUMAN_Seuma_2022,0.6902977516710553,0.7226198514517218,0.6787163876204972,0.6999803780495781,0.38139686296280995,14811
172,S3F_MSA,A4_HUMAN_Seuma_2022,0.680035109040578,0.712356515867657,0.6690766108574328,0.6900385898358297,0.3608285966261252,14811
173,SiteRM,A4_HUMAN_Seuma_2022,0.6820606306123826,0.7143821742066172,0.6709791983764587,0.6920007848780169,0.3648881228767867,14811
174,ESM3,A4_HUMAN_Seuma_2022,0.6524880156640335,0.6848075624577988,0.6432014205986809,0.6633527372620839,0.30561903961712933,14811
175,ESMC-300M,A4_HUMAN_Seuma_2022,0.6952265208291135,0.7285675529028758,0.6812531709791984,0.704116413214473,0.3915675821331807,14811
176,ESMC-600M,A4_HUMAN_Seuma_2022,0.6805077307406657,0.713550135501355,0.6679350583460173,0.6899895178197065,0.36199655033808203,14811
177,xTrimoPGLM-1B-MLM,A4_HUMAN_Seuma_2022,0.6230504354871379,0.6553679945982445,0.6155504819888381,0.6348355026489633,0.24662059144084947,14811
178,xTrimoPGLM-3B-MLM,A4_HUMAN_Seuma_2022,0.6086017149415974,0.6409182984469953,0.601978691019787,0.620838511348028,0.21766263751946438,14811
179,xTrimoPGLM-10B-MLM,A4_HUMAN_Seuma_2022,0.6346634258321517,0.6669817690749493,0.6264586504312532,0.6460854208908365,0.2698952086113085,14811
180,xTrimoPGLM-1B-CLM,A4_HUMAN_Seuma_2022,0.5886165687664574,0.6209318028359216,0.5832064941653983,0.601478186931781,0.17760864517960465,14811
181,xTrimoPGLM-3B-CLM,A4_HUMAN_Seuma_2022,0.5836202822226724,0.6159351789331533,0.5785134449518011,0.5966381058277193,0.1675951470946397,14811
182,xTrimoPGLM-7B-CLM,A4_HUMAN_Seuma_2022,0.5433799203294848,0.575692099932478,0.5407153729071538,0.5576558309896004,0.08694589224816536,14811
