,accuracy,precision,recall,f1,mcc,n,cluster_label
xTrimoPGLM-1B-CLM,0.6525734451624731,0.6476600815877527,0.6540455471209036,0.6508371525298818,0.30516080388351213,43638,autoregressive_plm
ESM3,0.6525276135478253,0.6476819369927088,0.6537678207739308,0.6507106493745825,0.30506466468572935,43638,inverse_folding_mixed
ProtSSN_k20_h1280,0.6518401393281086,0.6469267085300454,0.6533049435289762,0.6501001819396145,0.30369412100140586,43638,structure_aware
CARP_38M,0.6510610018790962,0.6461474996562314,0.6525180522125532,0.6493171506874553,0.30213577043916795,43638,newer_plm
Wavenet,0.6507860121912095,0.6458724847595911,0.6522403258655805,0.6490407867161051,0.3015857643583781,43638,autoregressive_plm
Tranception_M_no_retrieval,0.6486319263027637,0.643718201402576,0.6500648028142937,0.6468759356071947,0.2972773833921909,43638,autoregressive_plm
ProSST-512,0.6481736101562858,0.6432598432415089,0.649601925569339,0.6464153289882776,0.2963607065908745,43638,inverse_folding_mixed
ProtGPT2,0.647692378202484,0.6427851118445178,0.649092760599889,0.645923537540304,0.2953977458633643,43638,newer_plm
ProSST-4096,0.6450570603602365,0.6401430077462529,0.6464543603036474,0.6432832039796412,0.2901273043419228,43638,inverse_folding_mixed
ProSST-128,0.6434529538475641,0.6385387541825183,0.6448342899463062,0.6416710808134313,0.2869189355373153,43638,inverse_folding_mixed
VESPAl,0.6434300380402401,0.6385602934433746,0.6446491390483244,0.6415902704196803,0.28686996343507887,43638,autoregressive_plm
ProtSSN_k30_h768,0.6424904899399606,0.6375762020442775,0.6438622477319015,0.6407038069137053,0.28499391425455084,43638,structure_aware
ProtSSN_k30_h1280,0.6423071634813694,0.6373928587798505,0.6436770968339196,0.6405195642661385,0.28462724353402424,43638,structure_aware
xTrimoPGLM-100B-int4,0.6421238370227783,0.6372095155154237,0.6434919459359378,0.6403353216185717,0.2842605728134977,43638,autoregressive_plm
ESM2_650M,0.6417113524909482,0.6367969931704635,0.6430753564154786,0.6399207756615463,0.2834355636923129,43638,structure_aware
ProSST-1024,0.6396030982171502,0.6346885456295549,0.6409461210886873,0.6378019852145276,0.2792188504062573,43638,inverse_folding_mixed
MIF,0.6380906549337734,0.6331759636980336,0.639418626180337,0.6362819833721011,0.27619381696191314,43638,inverse_folding_mixed
Unirep_evotune,0.636028232274623,0.6311133519732319,0.6373356785780411,0.634209253586974,0.2720687713559892,43638,autoregressive_plm
ESM2_15B,0.6334616618543472,0.6285465462712564,0.6347435660062951,0.6316298565210382,0.26693538126861727,43638,autoregressive_plm
ProSST-20,0.6294284797653421,0.6245129944538662,0.6306702462506943,0.6275765182745676,0.25886862541703276,43638,inverse_folding_mixed
MULAN_small,0.6292909849213988,0.6243754870055461,0.6305313830772079,0.6274383362888925,0.2585936223766378,43638,inverse_folding_mixed
SaProt_35M_AF2,0.6265410880425317,0.6216253380391438,0.6277541196074801,0.6246746965753898,0.2530935615687393,43638,inverse_folding_mixed
xTrimoPGLM-3B-CLM,0.6259452770521106,0.6210294724297566,0.6271523791890391,0.6240759079707976,0.25190188172702793,43638,autoregressive_plm
ESM2_150M,0.6160456482881892,0.6111289361507082,0.6171542306980189,0.6141268050021879,0.2321016628185932,43638,inverse_folding_mixed
ESM2_35M,0.6064668408268024,0.6015492505844067,0.607480096278467,0.6045001266668202,0.21294311767107996,43638,inverse_folding_mixed
ESM2_8M,0.6033044594161052,0.598386579273044,0.60428624328828,0.6013219409962921,0.20661804774199663,43638,inverse_folding_mixed
Unirep,0.584880150327696,0.5799679119871648,0.585632290316608,0.582786337778392,0.1697667391939591,43638,inverse_folding_mixed
ESM-IF1,0.5676474632201293,0.5627263143420269,0.5682743936308091,0.5654867460445406,0.1353005925995789,43638,inverse_folding_mixed
CARP_600K,0.5674641367615381,0.5625429710776,0.5680892427328272,0.5653025033969739,0.13493392187905234,43638,inverse_folding_mixed
ProteinMPNN,0.5507814290297447,0.5458587340147592,0.5512405110164784,0.5485364224683908,0.10156688631113453,43638,inverse_folding_mixed
xTrimoPGLM-7B-CLM,0.5453732985013062,0.5404501077141679,0.5457785595260137,0.5431012643651689,0.09075010005560073,43638,inverse_folding_mixed
